"id","user_id","name","ip","port","type","active","login","password","created_at","updated_at"
"2","1","Тагил","91.143.162.41","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-27 18:00:02"
"3","1","Екат","5.166.41.159","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-30 06:00:03"
"4","1","Пермь","5.141.81.5","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-16 17:00:06"
"5","1","Краснодар","85.175.73.42","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-26 09:00:06"
"6","1","Ижевск","92.55.23.52","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-22 05:00:06"
"7","1","Ульяновск","87.76.1.175","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-22 18:00:09"
"8","1","Чебоксары","37.113.204.38","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-03 13:00:07"
"9","1","Сочи","109.235.189.93","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-20 21:00:14"
"10","1","Челябинск","78.29.38.132","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-30 07:00:09"
"11","1","Тюмень","92.255.169.26","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-19 02:00:36"
"12","1","Самара","80.234.43.205","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-04 21:00:25"
"13","1","Москва","81.95.139.9","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-13 08:00:22"
"15","1","Уфа","213.59.131.31","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-20 18:00:27"
"16","1","Владивосток","95.154.85.160","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-28 08:00:15"
"17","1","Якутск","80.73.89.126","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-09-24 00:00:46"
"18","1","Казань","5.59.32.87","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-03 13:00:19"
"19","1","Хабаровск","87.225.109.74","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-25 21:00:51"
"20","1","Новосибирск","5.131.246.134","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-09-27 07:00:53"
"21","1","Нижн.Новгород","95.172.54.178","65056","https","1",NULL,NULL,"2023-04-25 06:24:01","2023-10-19 08:00:28"
